company,title,description
Liberty Mutual Insurance,"Director II, Data Science - Office of Data Science","Help shape the future of Data Science across Liberty! As a technical member of the Office of Data Science (ODS), Enablement & Collaboration unit, you will work with a team of data science (DS) and machine learning (ML) experts to solve Liberty’s most challenging data science problems. The ODS was created to provide additional centralized support and expertise to DS teams across the global organization. Our projects focus on key areas of interest to multiple teams, bleeding edge research and experimentation, common tool development, and establishing best practices to ensure the scientific community at Liberty is well-positioned to rapidly meet the challenges of modern industry. If you are interested in making an impact on an entire culture at a Fortune 100 company, the ODS is the place for you!  As a centralized group, our project scope is vast. Possible projects include: Design new language models (NLP/NLU) to understand and build predictions or summaries from customer calls, claim notes, web chats, medical records, and beyond Detect property hazards from aerial imagery, customer photos, geospatial data, etc. using computer vision (CV) Explore the advantages and limitations of privacy-preserving ML, to accelerate experimentation and better protect our customers’ data Push the boundaries in fundamental experimentation to boost and augment small-sample or rare-event data, transfer learning, and similar techniques Engage in theoretical research in collaboration with MIT, via Liberty’s investment in the MIT Quest for Intelligence, to shape the future of AI Benefits: We value your hard work, integrity and commitment to positive change. In return for your service, it’s our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits Overview: At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed. We’re dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual."
Mphasis,Data Science Specialist USA,"Note: This position is accepting applicants for- New York and Texas. Skills : Excellent knowledge of NLP and ML alogrithms. Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc {{depending on specific project requirements}}. Excellence in at least one of these is highly desirable Great communication skills Experience with data visualization tools, such as D3.js, GGplot, etc. Proficiency in using query languages such as SQL, Hive, Pig {{actual list depends on what you are currently using in your company}} Experience with NoSQL databases, such as MongoDB, Cassandra, HBase {{depending on project needs}} Good applied statistics skills, such as distributions, statistical testing, regression, etc. Qualification: TECH (Computer Science Engineering/ IT)/ MCA What’s in for you? At Mphasis, we promise you the perfect opportunity of building technical excellence, understand business performance and nuances, be abreast with the latest happenings in technology world and enjoy a satisfying work life balance. With the current opportunity, you will get to work with the team that has consistently been setting benchmarks for other deliveries in terms of delivery high CSATs, project completion on time and being one of the best teams to work for in the organization. You get an open and transparent culture along with freedom to experimentation and innovation"
"International Consulting Associates, Inc (ICA)",Senior Data Scientist,"Project: ICA’s data team is building a proof of concept analytical application on behalf of a US federal government agency that leverages machine learning and NLP methods to identify safety signals to improve medical device safety. This project aims to help identify limitations and opportunities to use currently collected device data to streamline processes, drive better insights and improve patient safety.Role: ICA is looking for a senior data scientist to develop AI/ML models to detect safety signals in medical devices and assist our data team in designing an analytical application to deliver model results.Responsibilities: Lead exploratory data analysis of client databases.Lead development and evaluation of AI/ML/Statistical models.Assist in data cleaning and feature engineering.Assist in design of analytical application for surfacing insights.Required Qualifications: BA and 6 + years of experience or MA and 3+ years of experience.Experience with Natural Language Processing ( NLP ) methods and modeling.Experience with exploratory data mining for structured data, and unstructured text documents.Experience with statistical programming (Python/R preferred).Experience developing AI/ML models for classification and anomaly detection tasks.Desired Qualifications: Experience with Optical Character Recognition (OCR) methods.Experience building and deploying analytical applications.Experience with software development best practices including Version Control (Git/SVN).Ability to communicate technical concepts and decisions to non-technical audiences.Experience working with government agencies.Job Type: Full-timeBenefits:401(k)401(k) MatchingDental InsuranceFlexible ScheduleHealth InsurancePaid Time OffProfessional Development AssistanceRetirement PlanSchedule:8 Hour ShiftMonday to FridayCOVID-19 considerations:Fully remote until further notice.Experience:relevant: 2 years (Required)Work Location:One locationFully RemoteCompany's website:www.icaglobal.coBenefit Conditions:Only full-time employees eligibleWork Remotely:Temporarily due to COVID-19"
"The Travelers Companies, Inc.",Senior AI Architect,"Company Information Solid reputation, passionate people and endless opportunities. That's Travelers. Our superior financial strength and consistent record of strong operating returns mean security for our customers - and opportunities for our employees. You will find Travelers to be full of energy and a workplace in which you truly can make a difference. Target Openings 1 Job Description Summary Grow and advance your career as a key contributor on our Enterprise Business Intelligence & Analytics Architecture team of highly motivated and skilled professionals who are leading Travelers' analytics journey and driving business value that creates a sustainable competitive advantage for our company. We accomplish this by helping the enterprise adopt various technology platforms ranging from compute (private and public cloud), Artificial Intelligence (AI), Predictive modeling, Data Management and Data Ops. If YOU... Are a passionate technologist who wants to drive technology and architecture strategy? Have a passion for collaborating across different business and technology roles to provide AI and Machine Learning solutions. Are comfortable with ambiguity. Enjoy working in a fast-paced, agile environment. Enjoy driving adoption of new technologies and design patterns. Then, EBIA architecture is the place for you! EBIA Architecture organization is looking for an Artificial Intelligence Architect responsible for working closely with application development teams as they develop new AI/ML applications using industry standard technologies. The AI Architect will provide guidance and decision-making support for both architecture and design activities.  Primary Job Duties & Responsibilities Lead AI architecture in delivering value to our client. Architect, design, and implement large scale and enterprise grade AI solutions. Assess, estimate, and support opportunities or business development in our clients. Align business strategy, KPI, and AI use cases. Apply knowledge of current industry trends and techniques to formulate solutions within the context of assigned projects. Stay current with AI/ML trends and research. Be a thought leader in AI area. Prototype and conduct POC of AI solutions. Work within Travelers standards, processes, and protocols. Minimum Qualifications High School diploma or equivalent required. 1 year of technology related experience required. Education, Work Experience, & Knowledge Experience in one or more machine learning solutions such as TensorFlow, Keras, etc. Experience in one or more programming language such as Python, R, AngularJS, NodeJS, etc. Good understanding of machine learning techniques such as Neural Networks, Random Forest, etc. Good understanding of natural language processing, machine translation, language detection, etc. Understanding of cloud networking concepts. Familiarity with end to end machine learning (ML) platforms such as SageMaker. Familiarity with micro services. Familiar with lean-agile methodologies Proven success in contributing to a team-oriented environment. Proven ability to work creatively and analytically in a problem-solving environment. Working knowledge of AWS (S3, Services, EC2, Lambda, Glue, Athena), a plus. Equal Employment Opportunity Statement Travelers is an equal opportunity employer."
Areté,Scientist,"Summary: Areté, an employee-owned company, is a growing research and development firm recognized for contributing to national security objectives by supplying innovative solutions to challenging technical problems faced by the United States. We support the development of new detection capabilities that use a variety of remote sensing methodologies (EO/IR, RADAR, LIDAR, Chemical/Biological sensors, etc.). We are seeking junior and mid-level applicants with a strong Physical Science/Engineering/Applied Math/Computer Science background to work in the areas of ocean remote sensing, signal/image processing and detection, computer vision, machine learning, physics based modeling, data analysis, sensor hardware development, and field test design and support. Tasks will include development of physics-based software and algorithms for data analysis. We foster a stimulating work environment that is customer-oriented and encourages the creative contributions of all employees in achieving the goals of the company.  Required Qualifications & Experience:  Qualified candidate will have a BS, MS, or PhD degree program in the physical science, mathematics, computer science, or engineering Experience programming in Python, MATLAB, C, C++, or similar language Excellent written and verbal communication skills Ability to work with minimal supervision and collaborate on small teams US citizenship - Must be eligible to obtain a TOP SECRET clearance  Additional Highly Desired Qualifications & Experience:  Remote sensing experience in Electro-Optics, Synthetic Aperture RADAR (SAR), or LIDAR Signal/image processing (detection, estimation, and tracking) Machine learning, artificial intelligence and deep learning, natural language processing Spectroscopy, bioinformatics, data fusion, data analytics, or algorithm development Computer vision, image and data fusion, image classification and automated target recognition Cloud computing and/or developing cloud based applications GPU or FPGA programming Intellectual curiosity and a desire for continuous learning Physics-based modeling and simulation Technical direction and/or program management An active security clearance  Areté Associates offers an excellent compensation and a full benefits package. U.S. citizenship, background screen and drug test are required to meet position eligibility. Please submit your resume on-line at: http://www.arete.com  Areté Associates is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex including sexual orientation and gender identity, national origin, disability, protected Veteran Status, or any other characteristic protected by applicable federal, state, or local law.  If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access our career center as a result of your disability. To request an accommodation, contact a Arete Associates Human Resources Representative.   Areté will consider for employment-qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring.   #IND123  Back Share Apply Now"
"International Consulting Associates, Inc (ICA)",Senior Analytics Developer,"Project: ICA’s data team is building a proof of concept analytical application on behalf of a US federal government agency that leverages machine learning and NLP methods to identify safety signals to improve medical device safety. This project aims to help identify limitations and opportunities to use currently collected device data to streamline processes, drive better insights and improve patient safety.Role: ICA is looking for a software developer to lead the development of an analytical application to improve medical device safety.Responsibilities: Lead creation of analytical application.Lead creation of deployment and delivery processes for analytics application.Assist in design of analytical applications.Assist in creation of data infrastructure (ML infrastructure).Required Qualifications: BA and 4 + years of software development experience.Experience building and deploying software applications (Flask/Django/React preferred).Experience with programming (SQL, Python/Javascript/Ruby preferred).Desired Qualifications: Experience building and deploying analytical applications.Full stack web development experience.Experience writing software for government agencies.Job Type: Full-timeBenefits:401(k)401(k) MatchingDental InsuranceFlexible ScheduleHealth InsurancePaid Time OffProfessional Development AssistanceRetirement PlanSchedule:Monday to FridayCOVID-19 considerations:Fully remote until further notice.Experience:relevant: 2 years (Required)Work Location:One locationFully RemoteThis Job Is:A job for which military experienced candidates are encouraged to applyOpen to applicants who do not have a high school diploma/GEDCompany's website:www.icaglobal.coBenefit Conditions:Only full-time employees eligibleWork Remotely:Temporarily due to COVID-19"
Expatiate Communications,Educational Data Scientist,"The AI in Education at Expatiate Communications, aims to develop algorithms for the prediction of educational outcomes from attendance records, graduation rates , suspension and k-12 tst data. In order to achieve this goal, novel and creative machine learning and statistical analysis is needed. The candidates will be in charge of developing and implementing such algorithms on a variety of data sources and on a variety of educational outcomes. As an Educational Data Scientist , you will research and implement state-of-the-art AI algorithms, apply off-the-shelf AI and data-centric tools, collect, maintain and store user data. You have demonstrated competence in developing highly scalable artificial intelligence systems and ship projects with multiple dependencies across teams to achieve brilliant outcomes for customers. The EDS shall focus on: Designing, developing and implementing artificial intelligence algorithms and build scalable production systems focused on student achievement and educational optionsIdentifying creative uses of artificial intelligence and potential artificial intelligence innovations in k-12 education sectorCollaborate with a team of database experts and educational experts to address emerging client needsWork environment: Our projects involve the collaboration with educational program and student data IT teams. The candidates will be expected to be good communicators, particularly with the ability to communicate in an interdisciplinary environment, where different individuals have different expertise. The work is highly practical and translational – the output of the work is improved computational tools using existing data that can be incorporated in Expatiate’s iTAAP and beyond. Experience testing various hypotheses using Bonferroni correction his highly desirable.Job requirements: The candidate needs to have at least an undergraduate degree in either computer science, engineering, informatics, or a related field.A PhD degree in a related field is an advantage (but is not necessary).Programming competence demonstrated in at least one or more of these programming languages: Python, R, Java, C++, Matlab.Knowledge and deployment of advanced statistical and machine learning concepts used in big data analysis including nonparametric tests, ANOVA, mixed models, modern supervised and unsupervised machine learning algorithms such as SVM, Random Forest, PCA, Clustering, and Neural Networks.Recognized expertise in at least 1-2 AI specialties (e.g., NLP, computer vision, Bayesian networks). Excellence as evidenced by publications in relevant journals, awards and accolades, or major commercial breakthroughsExperience with architectural patterns of large, high-scale software applications, including the management of upstream and downstream dependencies and an ability to understand technical designs, challenges, trade offs, and risksAbility to communicate clearly in an interdisciplinary environment.Knowledge and experience working with genomic data or with educational records data is an advantage but it is not necessary.Ability to work in a Linux environment – advantageSoftware tool development experience: source control (git), packaging, documentation – advantage.Job Types: Full-time, Part-timePay: $100,000.00 - $150,000.00 per yearExperience:Artificial Intelligence/ML: 5 years (Required)Education:Master's (Required)Additional Compensation:BonusesWork Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offWork from homeFlexible scheduleProfessional development assistanceSchedule:Monday to FridayDay shiftBenefit Conditions:Waiting period may applyOnly full-time employees eligibleWork Remotely:Temporarily due to COVID-19"
Ennis Care Center,2-10 RN or LVN Charge Nurse M-F,"To deliver nursing care to patients/residents requiring subacute care. Maintains knowledge of necessary documentation requirements. Initiate emergency support measures when necessary. Maintains knowledge of equipment set-up, maintenance and use. Assesses patients/residents observations and reports pertinent information related to the care of the patient/resident. implements the patient/resident plan of care and evaluates the patient/resident response. Direct and supervises care given by MA, C.N.A and T.N.A in selected situations. Must have a current L.V.N license in the sate of Texas. MUST be aware of delegation of duties to NLP.Job Type: Part-timePay: $22.00 - $25.00 per hourCOVID-19 considerations:Will be reviewed upon employment.Experience:LVN: 1 year (Preferred)healthcare: 1 year (Preferred)License:LVN (Preferred)Additional Compensation:Other formsWork Location:One locationBenefits:Health insuranceDental insuranceVision insurancePaid time offFlexible scheduleTuition reimbursementHours per week:30-39EMR Used:Not listed / OtherPatient Type:AdultsGeriatricTypical start time:2PMTypical end time:10PMRelocation Assistance Provided:NoThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedOutcome-oriented -- results-focused with strong performance cultureStable -- traditional, stable, strong processesPeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeSchedule:Monday to FridayHolidays required8 hour shiftWork Remotely:No"
AccruePartners,Data Scientist,"JOB DESCRIPTION AccruePartners values our contract and consulting employees. We offer a competitive benefits package to meet the diverse needs of all of our contractor and consulting employees and their family members. Here is a listing of what our company offers: 401(k) Medical, Dental, Vision, Life Insurance, Employee Assistance Program, Medical and Prescription Drug, Short and Long-Term Disability Insurance. THE TEAM YOU WILL BE JOINING: Fortune 500 Company World leader in commercial data and insight Constantly expanding the size and improving the quality of their global database; currently exceeding 280 million businesses worldwide Focus on valuable relationships allowing customers to succeed WHAT THEY OFFER YOU: Culture: Energetic, forward thinking individuals, passionate about compliance, risk assessment and management Growth: Partake in a learning program with robust curriculum that will enhance the value you bring to your team and the company Opportunity: Extensive international network with offices on five continents Stability: A storied and commanding brand with almost two centuries of experience WHERE THE POSITION IS LOCATED: Reston, VA THE BACKGROUND THAT FITS Undergrad degree in a Risk related field (Accounting, Business, Economics, Finance, Math/Stat, Operations Research, etc.) with 1 to 3 years of applicable experience Strong programming skills with the ability conduct research utilizing R, and Python to manipulate data and conduct statistical analysis Strong SQL skills and experience Ability to effectively communicate complex ideas to both a technical and non-technical audience Willingness to travel to client locations as needed Essential Responsibilities Engage clients with the colleagues to identify their business needs and develop, implement, and manage solutions Participate in all aspects of a modeling engagement, including design, development, validation, calibration, documentation, approval, implementation, monitoring, and reporting Strong SAS programming skills with an ability to apply common procedures and data manipulations, write macro functions and learn new procedures when necessary Preferred Qualifications Experience implementing text analytic techniques (including NLP) to create structured fields from unstructured datasets Experience working with very large datasets Experience working with outside clients on statistical engagements Experience with graph databases and visualizations Experience applying modern machine learning techniques Experience applying data and analytics for capital markets use-cases"
Confidential,Director of Data and Analytics,"The Director of Data & Analytics leads a multi-functional team of Reporting, Analytics and ETL solutions developers to enable effective and efficient access to information for our business, while delivering new capabilities, driving actionable insights, and enabling personal development. This role has responsibility to architect, design and build scalable software and infrastructure solutions to ingest, store and process data (structured, semi-structured and unstructured). You will have responsibility for design, strategy, delivery and support of our reporting, analytics, data, data warehouse and integration disciplines.Looking forward, this position will also be responsible for enabling new AI and Machine Learning capabilities including analysis of structured and unstructured data, text mining, application of computer vison to images and video, audio analytics, natural language processing, deep learning, and other AI technologies.Responsibilities: STRATEGY & OPPORTUNITY ANALYSISDefine the Path Forward: Develop and execute roadmaps for our data architecture, reporting and analytics capabilities, and integration capabilities to support the needs of our evolving business.Identify and Address Opportunities: Work within cross-functional teams to comprehend our business partners challenges and business drivers, support requirements analysis, create roadmaps to address these opportunities, rapidly architect / test / deliver solutions that deliver measurable outcome enabling business transformation.LEADERSHIP & PARTNERSHIPBuild Business Relationships: Act as a Data and Analytics liaison with internal partners including Operations, Finance, Merchandising / Inventory and HR to identify and quantify business issues associated with specific projects/or operations, set/implement strategic technical direction in support of business requirements, then deliver data visualizations and actionable insights from data and improve business processesBuild External Partnerships: Develop and manage academic, vendor partner, and other external relationships to deliver data, services and actional insights to our business and bring new, innovative concepts to our business.Lead by Example: mandate unbiased data-driven decision-making from your team, and act as the main marketer of executable insights to cross-functional teams, catered to each team’s own functional goals/needs.Strengthen the Foundation: Grow our team size and capabilities. Plan and lead activities to improve data quality and, stewardshipPROCESSES, COMMUNICATION & DELIVERY:Run-the-Business and Project Delivery Management: Measure, monitor and manage overall delivery by multifunctional teams in support of projects and run-the-business operations; implement Lean Best Practices to optimize performance, resolve issues, and drive continuous improvement.Hands On: Both manage and be hands on applying your domain expertise and business acumen to develop multiple insights and theories for complex problems using ingenuity and creativity and deep understanding of existing methods and solutions.Lead the Team: You will serve as a coach, mentor, and lead for your team and the evangelist for Data and Analytics throughout the organization.Win through Standardization: Drive standardization of common data services, common business objects and ensure integration solutions are architected for reusability, and documented for self-service.Qualifications: Bachelor’s degree (Master’s preferred) Data Science, Mathematics, Statistics, Computer Science, Computer Engineering, Analytics, Information Systems, Economics, Management or another quantitative discipline field or equivalent of work experience.10+ years of hands experience with data engineering concepts including relational databases, multi-dimensional databases, data warehouses, analytics / data science / business intelligence tools, integration tools and related programming languages (SQL, no-SQL, etc.)5+ years of direct multi-disciplinary Managerial experienceExperience with definition and implementation of enterprise integration solutions using a leading industry integration platform (IBM Integration Broker, MuleSoft, Pentaho, etc)Familiarity and experience with statistical methods such as Linear Modeling, Classification Methods, Tree Methods, Unsupervised Learning, etc.Experience with providing project management support for large data analytics and data quality management projects, including providing planning, scheduling, and deployment support.Hands-on experience developing and driving programs or projects with aggressive schedulesProficiency with at least one statistical computing language for data analysis, such as R or PythonExperience with High Performance Computing, Machine Learning, Big Data Analysis or related areas, deep understanding of Machine Learning preferredDemonstrated ability to engage and influence people and teams at every level in the organization, combined with business acumen.Familiarity and expertise with one or more cloud systems (Amazon Web Services, Azure, Google Cloud, etc.)Experience with front end BI tools (MS Power BI, SAP BI, Tableau).You’re highly analytical, collaborative, self-motivated, technical, process-oriented, with strong communication, negotiation, and influencing skills in cross-functional matrixed setting.Practical experience working with agile methodologies in a software engineering capacityPassionate: High energy. “Can-do-attitude”. Enthusiastic. Optimistic, open, and objective toward others.Proactive: Self-starter, continually seeks additional responsibilities. Willingness to go the distance to get something done, including working long hours at times if needed. Customer service mindset.Intellectually Curious: Promote openness of discourse and ask the right questions. Be willing to challenge the status-quo. Obsessive learner.Job Type: Full-timeSchedule:8 Hour Shift"
Botco.ai,Director of Engineering,"Company Description: Botco.ai is a conversational marketing platform that enables intelligent chat between businesses and their customers. We have large enterprise customers on our Chat platform using NLP technologies that provide 96% coverage of inbound questions. We are a startup looking for an experienced technology expert with entrepreneurial spirit to head our engineering team. You will be responsible for product engineering , dev ops and on time product delivery. This is a hands on development /architecture role along with management. The preferred location in Phoenix, AZ but will consider strong candidate in other geographies. We are building a SAAS solution in Java and Node.JS, with AI and NLP technologies and cloud deployment.Job Description: 1. Total ownership of the product development & releases and ensuring the company’s technology strategy serves the business strategy2. Platform selection, technical design and solution architect3. Lead and manage multiple product development teams, some virtual.4. High level design, code review, mentor back end and front end engineering team5. Play the role of solution architect and project management6. Review, guide, assist and approve the design by the team lead or senior developerPre-requisites: At least 6 years of Product Lead, Manager and/or Architect rolesEducation Qualification: BE/BTech/MCAExpert in Java / Front End TechnologiesExperience of building enterprise scalable and highly maintainable solutionsExpertise in micro service architecture & building SAAS solutionStrong knowledge of security, site performance and scalability operationsHave built and managed diverse and /or virtual and offshore technology teamsStrong process orientation and data driven approachApplicant Information: Botco.ai is an equal opportunity employer. Additional information can be found at www.botco.ai.Recruiters need not reach out. Botco.ai will not pay any recruiters that we have not previously contracted with.Botco.ai is a winner of the Arizona Innovation Challenge. Here are links to some of the supporting coverage.https://ktar.com/story/2882569/winners-announced-fall-2019-arizona-innovation-challenge/https://www.aztechcouncil.org/botco-ai-inc-named-as-one-of-10-winners-for-the-acas-fall-2019-innovation-challenge/Botco.ai is proud to be selected as one of Silicon India's 100 most promising technology companies of 2019https://www.siliconindia.com/vendor/botcoai-conversational-marketing-automation-robotics-cid-3507.htmlhttps://www.siliconindia.com/magazines/December2019/SI_100/#page=43Job Type: Full-timeBenefits:401(k)Dental InsuranceDisability InsuranceHealth InsuranceLife InsurancePaid Time OffVision InsuranceSchedule:Monday to FridayAdditional Compensation:Other formsWork Location:Fully RemoteThis Job Is:A “Fair Chance” job (you or the employer follow Fair Chance hiring practices when performing background checks)A job for which all ages, including older job seekers, are encouraged to applyA job for which people with disabilities are encouraged to applyCompany's website:https://botco.ai/Benefit Conditions:Only full-time employees eligibleWork Remotely:Yes"
Apple,"AI/ML - Machine Learning Engineer, Siri Experience","Summary Posted: May 5, 2020 Weekly Hours: 40 Role Number:200125395 The Siri Client Group is looking for an outstanding machine learning engineer, who is passionate about developing and deploying innovative technologies and features to millions of Apple users on existing and upcoming Apple devices. This is a chance to create the promise of ML a reality for the user. The Siri Client team is responsible for the end user experience, as it relates to Siri, on all devices and platforms. We are looking to build a team capable of solving the difficult real world problems leveraging the latest ML technologies on the client platform. We are looking for machine learning engineers who have a keen focus on improving the user experience and helping build more natural and crafted interactions. Key Qualifications Experience applying machine learning methods to products, features and/or services, including minimizing footprint, evaluating tradeoffs, and pipeline work Expertise in Python and/or C/C++/Objective-C development Strong background in at least one area of machine learning, such as deep learning, ASR, NLP, robotics, computer vision, gesture recognition Familiarity with Tensorflow Proven problem solving and debugging skills Skill in efficiently implementing algorithms published in technical papers and/or developing new algorithms Enthusiasm for continuing to learn state-of-the-art techniques in machine learning Excellent interpersonal and collaboration skills Description You will be responsible for developing new models, developing new ML architectures, keeping up to date with the state-of-the-art ML technologies, and working with others to bring those technologies to actual products. The role is to leverage ML to help seek the more intuitive user interactions and build the next wave of experiences for the users across all Apple devices. We are looking for someone who will work with a hardworking, product-focused team to ideate, rapidly prototype, and ship next-generation Siri experiences. You must enjoy building compelling features, writing elegant code and applying innovative new technologies in the service of human-centered design. A keen understanding of the latest ML technologies, the pros and cons of each, and how they can be applied to real world applications will be the key to success in this role. You will collaborate with other teams within the Siri Client group to provide the underlying technology to enable outstanding and compelling experiences and features. You will be required to be able to switch rapidly between projects, capture the meaningful information, propose solutions, do the relevant data collection, and produce high quality solutions in a timely manner. You will be working in the Siri Core Intelligence Team, at Apple. Education & Experience B.S., M.S. or Ph.D. in Computer Science, Electrical Engineering, Statistics, Physics or related fields."
"CGI Group, Inc.",ML Engineer,"Position Description:  CGI is looking for a Machine Learning (ML) Engineer who can join in our emerging technology group in the digital insight practice. The ML Engineer will be responsible for designing & developing data ingestion and data transformation framework for modern data science solutions   The ML Engineer will also be providing statistical trend analysis on large structured and unstructured data sets and analysis of advanced algorithms including artificial intelligence concepts. The candidate will be responsible for adapting and modifying machine-learning algorithms to address user requirements and case studies, establishing new proof of concepts for our clients.    Responsibilities:  Data Ingestion of structured and unstructured data using Kafka, CDC, Spark or similar technologies.  Data transformation and analysis using HDFS, Hive, and Hbase or Cassandra or similar technologies.  ETL Design and Development in the big data platform in Hadoop using technologies such as Scala, Spark, Python, Oozie, and more to support a variety of requirements and applications.  Design and development of ML algorithms and frameworks  Perform statistical analsyis, fine tune test results and present findings using visualization applications like Tableau, Power BI.   Required Skills:  Advanced degree in a quantitative discipline, e.g., Computer Science or Linguistics Analytics  2+ years industry experience in applied NLP or combination of NLP and Machine Learning  Experience: Natural Language Processing (NLP), Optical Character Recognition (OCR), Selenium, Beautiful Soup  Fluent with scripting in Python  oOCR libraries such as Tesseract, PyOCR, OpenCV  oNLP libraries such as NLTK, spaCy, or Stanford NLP  oML libraries such as Scikit-learn, Spark, Tensorflow, Keras, or PyTorch  Comfort with rapid prototyping and disciplined software development processes  Practical software engineering experience in collaborative project settings  Experience with SQL and NoSQL database.  Skills: Python Big Data What you can expect from us: Build your career with us.  It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this change—supporting our clients' digital journeys and offering our professionals exciting career opportunities.  At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.  Be part of building one of the largest independent technology and business services firms in the world.  Learn more about CGI atwww.cgi.com.  No unsolicited agency referrals please.  CGI is an equal opportunity employer.  Qualified applicants will receive consideration for employment without regard to their race, ethnicity, ancestry, color, sex, religion, creed, age, national origin, citizenship status, disability, medical condition, military and veteran status, marital status, sexual orientation or perceived sexual orientation, gender, gender identity, and gender expression, familial status, political affiliation, genetic information, or any other legally protected status or characteristics.  CGI provides reasonable accommodations to qualified individuals with disabilities. If you need an accommodation to apply for a job in the U.S., please email the CGI U.S. Employment Compliance mailbox atUS_Employment_Compliance@cgi.com. You will need to reference the requisition number of the position in which you are interested. Your message will be routed to the appropriate recruiter who will assist you.Please note, this email address is only to be used for those individuals who need an accommodation to apply for a job. Emails for any other reason or those that do not include a requisition number will not be returned.  We make it easy to translate military experience and skills! Clickhere to be directed to our site that is dedicated to veterans and transitioning service members.  All CGI offers of employment in the U.S. are contingent upon the ability to successfully complete a background investigation. Background investigation components can vary dependent upon specific assignment and/or level of US government security clearance held.  CGI will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with CGI's legal duty to furnish information."
Intelligent Automation,Full Stack Software Engineer – Product Development,"IAI is looking for a self-motivated software developer who is interested in working in a highly agile and dynamic R&D, technology transition, and product development environment. You will be working with the Products Development team and/or other R&D teams within IAI to advance research and develop products in the areas of big data, video, image, video, text, and network analytics. You are highly encouraged to apply if you are excited about writing code, interested in applying the latest technologies throughout the software stack, have strong analytical skills, enjoy finding and fixing bugs, passionate about understanding how things work and want to solve complex problems. IAI is looking for Software Engineers at mid and senior levels for this position. JOB DUTIES: Exact job duties will vary depending on experience/interest: Design, develop, and integrate existing algorithms (natural language programming, graph analytics, machine learning) into production framework. Enhance existing solutions to improve processing speeds at scale. Work with and/or lead a team of research engineers to harden algorithms and modules and get them ready for integration into production framework. Design, develop, and integrate web services to support existing production applications. Rigorously develop, test, and document code. REQUIRED SKILLS AND EXPERIENCE: Comfortable working in Linux OS Programming in Python, C/C++, and/or Java Experience in HTML/JS/CSS Client side UI toolkits Experience with Configuration Management and Build Tools (e.g., Git, Subversion, Maven, Gradle, Jenkins and/or Travis) Good verbal and written communication skills. 3+ years of experience in related technologies DESIRED SKILLS AND EXPERIENCE: Prior experience with one or more of these technologies is a plus, but not required. Training in relevant technologies will be provided as needed. Experience working on projects following an Agile or similar process Experience with Relational Database/ORM (e.g., MySql, Oracle, Hibernate, SQLAlchemy, etc.) Experience with NoSQL/Graph Database (e.g., Solr, MongoDB, Cassandra, Neo4j, JanusGraph, etc.) Experience with DevOps/Deployment Tools (e.g., Ansible, Chef, Puppet, Docker, etc.) EDUCATION: A bachelor’s degree in Computer Science, Engineering, Mathematics, Physics or related field is required.  About IAI IAI is a technology innovation company specializing in providing advanced technology solutions and R&D services to federal agencies and corporations. IAI leverages agile R&D processes, a multi-disciplinary collaborative environment, and its substantial intellectual property portfolio to excel in developing concepts into market-focused products and customer-driven solutions. IAI’s core R&D areas include: AI & Advanced Computing; Autonomy & Robotics; Healthcare Research Technologies; Modeling, Simulation & Visualization; and Networks & Cyber Security; and Radar, Communications & Sensors. For more information about IAI please visit www.i-a-i.com.  US Citizenship or Permanent Residency required  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.  Requisition ID: 20-1227"
